ICD O 3 topogrophy code (modified),ICD O 3 topography code,SNOMED CT CODES,Region (level 1),Organ system (Level 2),Broad Site (Level 3),Site (Level 4),
C00.0,C00.0,20043004,Head Neck,Oral cavity,LIP,External upper lip,External upper lip
C00.0,C00.0,11681001,Head Neck,Oral cavity,LIP,"Upper lip, NOS",#N/A
C00.0,C00.0,20043004,Head Neck,Oral cavity,LIP,Vermilion border of upper lip,Vermilion border of upper lip
C00.1,C00.1,46005001,Head Neck,Oral cavity,LIP,External lower lip,External lower lip
C00.1,C00.1,32032005,Head Neck,Oral cavity,LIP,"Lower lip, NOS",#N/A
C00.1,C00.1,46005001,Head Neck,Oral cavity,LIP,Vermilion border of lower lip,Vermilion border of lower lip
C00.2,C00.2,,Head Neck,Oral cavity,LIP,"External lip, NOS",#N/A
C00.3,C00.3,18444004,Head Neck,Oral cavity,LIP,Mucosa of upper lip,Mucosa of upper lip
C00.3,C00.3,45825006,Head Neck,Oral cavity,LIP,Frenulum of upper lip,Frenulum of upper lip
C00.4,C00.4,46353006,Head Neck,Oral cavity,LIP,Mucosa of lower lip,Mucosa of lower lip
C00.4,C00.4,34148009,Head Neck,Oral cavity,LIP,Frenulum of lower lip,Frenulum of lower lip
C00.4,C00.4,46353006,Head Neck,Oral cavity,LIP,Inner aspect of lower lip,Inner aspect of lower lip
C00.5,C00.5,59641005,Head Neck,Oral cavity,LIP,"Mucosa of lip, NOS",#N/A
C00.5,C00.5,7652006,Head Neck,Oral cavity,LIP,"Frenulum labii, NOS",#N/A
C00.5,C00.5,7652006,Head Neck,Oral cavity,LIP,"Frenulum of lip, NOS",#N/A
C00.5,C00.5,59641005,Head Neck,Oral cavity,LIP,"Inner aspect of lip, NOS",#N/A
C00.5,C00.5,,Head Neck,Oral cavity,LIP,"Internal lip, NOS",#N/A
C00.6,C00.6,,Head Neck,Oral cavity,LIP,Commissure of lip,#N/A
C00.6,C00.6,83299001,Head Neck,Oral cavity,LIP,Labial commissure,Labial commissure
C00.6.L,C00.6.,,Head Neck,Oral cavity,LIP,Commissure of lip-Left,#N/A
C00.6.R,C00.6.,,Head Neck,Oral cavity,LIP,Commissure of lip-Right,#N/A
C00.8,C00.8,,Head Neck,Oral cavity,LIP,Overlapping lesion of lip,#N/A
C00.8,C00.8,,Head Neck,Oral cavity,LIP,Overlapping regions of lip,#N/A
C00.9,C00.9,48477009,Head Neck,Oral cavity,LIP,"Lip, NOS",#N/A
C01.9,C01.9,7283002,Head Neck,Oral cavity,BASE OF TONGUE,"Base of tongue, NOS",#N/A
C01.9,C01.9,38555005,Head Neck,Oral cavity,BASE OF TONGUE,Dorsal surface of base of tongue,Dorsal surface of base of tongue
C01.9,C01.9,7283002,Head Neck,Oral cavity,BASE OF TONGUE,Posterior third of tongue,Posterior third of tongue
C01.9,C01.9,7283002,Head Neck,Oral cavity,BASE OF TONGUE,"Posterior tongue, NOS",#N/A
C01.9,C01.9,47975008,Head Neck,Oral cavity,BASE OF TONGUE,Root of tongue,Root of tongue
C01.9.L,C01.9.,7283002,Head Neck,Oral cavity,BASE OF TONGUE,Posterior third of tongue-Left,#N/A
C01.9.R,C01.9.,7283002,Head Neck,Oral cavity,BASE OF TONGUE,Posterior third of tongue-Right,#N/A
C02.0,C02.0,77711009,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Dorsal surface of tongue, NOS",#N/A
C02.0,C02.0,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Anterior 2/3 of tongue, dorsal surface",#N/A
C02.0,C02.0,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Dorsal surface of anterior tongue,#N/A
C02.0,C02.0,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Midline of tongue,#N/A
C02.1,C02.1,24649007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Border of tongue,Border of tongue
C02.1,C02.1,73041003,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Tip of tongue,Tip of tongue
C02.1.L,C02.1.,24649007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Border of tongue-Left,#N/A
C02.1.R,C02.1.,24649007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Border of tongue-Right,#N/A
C02.2,C02.2,5502008,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Ventral surface of tongue, NOS",#N/A
C02.2,C02.2,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Anterior 2/3 of tongue, ventral surface",#N/A
C02.2,C02.2,1159005,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Frenulum linguae,Frenulum linguae
C02.2,C02.2,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Ventral surface of anterior tongue, NOS",#N/A
C02.3,C02.3,61344008,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Anterior 2/3 of tongue, NOS",#N/A
C02.3,C02.3,61344008,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Anterior tongue, NOS",#N/A
C02.4,C02.4,2048000,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Lingual tonsil,Lingual tonsil
C02.8,C02.8,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Overlapping lesion of tongue,#N/A
C02.8,C02.8,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Overlapping regions of tongue,#N/A
C02.8,C02.8,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,Junctional zone of tongue,#N/A
C02.9,C02.9,21974007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Tongue, NOS",#N/A
C02.9,C02.9,261121002,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF TONGUE,"Lingual, NOS",#N/A
C03.0,C03.0,23114008,Head Neck,Oral cavity,GUM,Upper gum,Upper gum
C03.0,C03.0,,Head Neck,Oral cavity,GUM,Upper alveolar mucosa,#N/A
C03.0,C03.0,77459005,Head Neck,Oral cavity,GUM,Upper alveolar ridge mucosa,Upper alveolar ridge mucosa
C03.0,C03.0,,Head Neck,Oral cavity,GUM,Upper alveolus,#N/A
C03.0,C03.0,304703001,Head Neck,Oral cavity,GUM,Upper gingiva,Upper gingiva
C03.1,C03.1,57131003,Head Neck,Oral cavity,GUM,Lower gum,Lower gum
C03.1,C03.1,,Head Neck,Oral cavity,GUM,Lower alveolar mucosa,#N/A
C03.1,C03.1,6912001,Head Neck,Oral cavity,GUM,Lower alveolar ridge mucosa,Lower alveolar ridge mucosa
C03.1,C03.1,,Head Neck,Oral cavity,GUM,Lower alveolus,#N/A
C03.1,C03.1,304704007,Head Neck,Oral cavity,GUM,Lower gingiva,Lower gingiva
C03.9,C03.9,113279002,Head Neck,Oral cavity,GUM,"Gum, NOS",#N/A
C03.9,C03.9,,Head Neck,Oral cavity,GUM,"Alveolar mucosa, NOS",#N/A
C03.9,C03.9,5560003,Head Neck,Oral cavity,GUM,"Alveolar ridge mucosa, NOS",#N/A
C03.9,C03.9,,Head Neck,Oral cavity,GUM,"Alveolus, NOS",#N/A
C03.9,C03.9,,Head Neck,Oral cavity,GUM,Periodontal tissue,#N/A
C03.9,C03.9,46141003,Head Neck,Oral cavity,GUM,Tooth socket,Tooth socket
C04.0,C04.0,52131005,Head Neck,Oral cavity,FLOOR OF MOUTH,Anterior floor of mouth,Anterior floor of mouth
C04.1,C04.1,28803009,Head Neck,Oral cavity,FLOOR OF MOUTH,Lateral floor of mouth,Lateral floor of mouth
C04.1.L,C04.1.,28803009,Head Neck,Oral cavity,FLOOR OF MOUTH,Lateral floor of mouth-Left,#N/A
C04.1.R,C04.1.,28803009,Head Neck,Oral cavity,FLOOR OF MOUTH,Lateral floor of mouth-Right,#N/A
C04.8,C04.8,,Head Neck,Oral cavity,FLOOR OF MOUTH,Overlapping lesion of floor of mouth,#N/A
C04.8,C04.8,,Head Neck,Oral cavity,FLOOR OF MOUTH,Overlapping regions of floor of mouth,#N/A
C04.9,C04.9,36360002,Head Neck,Oral cavity,FLOOR OF MOUTH,"Floor of mouth, NOS",#N/A
C05.0,C05.0,90228003,Head Neck,Oral cavity,PALATE,Hard palate,Hard palate
C05.1,C05.1,49460000,Head Neck,Oral cavity,PALATE,"Soft palate, NOS",#N/A
C05.2,C05.2,26140008,Head Neck,Oral cavity,PALATE,Uvula,Uvula
C05.8,C05.8,,Head Neck,Oral cavity,PALATE,Overlapping lesion of palate,#N/A
C05.8,C05.8,,Head Neck,Oral cavity,PALATE,Overlapping regions of palate,#N/A
C05.8,C05.8,245783005,Head Neck,Oral cavity,PALATE,Junction of hard and soft palate,Junction of hard and soft palate
C05.9,C05.9,72914001,Head Neck,Oral cavity,PALATE,"Palate, NOS",#N/A
C05.9,C05.9,72914001,Head Neck,Oral cavity,PALATE,Roof of mouth,Roof of mouth
C06.0,C06.0,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Cheek mucosa,Cheek mucosa
C06.0,C06.0,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal mucosa,Buccal mucosa
C06.0,C06.0,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Internal cheek,Internal cheek
C06.0.L,C06.0.,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Cheek mucosa-Left,#N/A
C06.0.L,C06.0.,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal mucosa-Left,#N/A
C06.0.L,C06.0.,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Internal cheek-Left,#N/A
C06.0.R,C06.0.,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Cheek mucosa-Right,#N/A
C06.0.R,C06.0.,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal mucosa-Right,#N/A
C06.0.R,C06.0.,16811007,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Internal cheek-Right,#N/A
C06.1,C06.1,34810001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Vestibule of mouth,Vestibule of mouth
C06.1,C06.1,245846000,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal sulcus,Buccal sulcus
C06.1,C06.1,245845001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Labial sulcus,Labial sulcus
C06.1.L,C06.1.,34810001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Vestibule of mouth-Left,#N/A
C06.1.L,C06.1.,245846000,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal sulcus-Left,#N/A
C06.1.L,C06.1.,245845001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Labial sulcus-Left,#N/A
C06.1.R,C06.1.,34810001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Vestibule of mouth-Right,#N/A
C06.1.R,C06.1.,245846000,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal sulcus-Right,#N/A
C06.1.R,C06.1.,245845001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Labial sulcus-Right,#N/A
C06.2,C06.2,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar area,#N/A
C06.2,C06.2,85816001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar triangle,Retromolar triangle
